OK 126ms 212.87.199.122:58416 cached
OK 9ms 172.233.139.46:53734 cached
OK 6ms 8.35.211.114:2053 cached
OK 6ms 8.35.211.185:443 cached
OK 6ms 8.35.211.36:2087 cached
OK 2ms 8.35.211.36:443 cached
OK 5ms 8.35.211.43:2053 cached
OK 6ms 8.35.211.87:2096 cached
OK 6ms 8.35.211.87:443 cached
OK 132ms 193.29.225.249:4443 cached
OK 438ms 45.131.66.61:20001 cached
OK 69ms 31.58.50.8:8443
OK 137ms 46.8.21.229:443
OK 137ms 46.8.29.207:2053
OK 124ms 46.8.29.207:2083
OK 139ms 46.8.29.207:2087
OK 136ms 46.8.29.207:30001
OK 123ms 46.8.29.207:30002
OK 155ms 46.8.29.207:30003
OK 123ms 46.8.29.207:30004
OK 143ms 46.8.29.207:30005
OK 139ms 46.8.29.207:30006
OK 142ms 46.8.29.207:31001
OK 134ms 46.8.29.207:31002
OK 130ms 46.8.29.207:31004
OK 135ms 46.8.29.207:31005
OK 136ms 46.8.29.207:31006
OK 139ms 46.8.29.207:31007
OK 139ms 46.8.29.207:31010
OK 128ms 46.8.29.207:31012
OK 137ms 46.8.29.207:443
OK 135ms 46.8.29.207:8443
OK 7ms 192.0.63.4:80 cached
OK 6ms 209.94.90.4:80 cached
OK 6ms 72.167.241.4:80 cached
OK 94ms 45.66.228.146:2053 cached
OK 95ms 37.120.222.70:8082 cached
OK 175ms 18.136.125.3:54618 cached
OK 106ms 13.114.63.132:32652 cached
OK 144ms 84.22.150.39:7443 cached
OK 90ms 104.105.28.51:443 cached
OK 11ms 216.167.21.162:39035 cached
OK 96ms 186.246.19.79:40443 cached
OK 174ms 13.212.143.2:18516 cached
OK 117ms 94.183.209.43:33843 cached
OK 113ms 94.183.209.43:443 cached
OK 110ms 94.183.209.43:8443 cached
OK 57ms 38.58.180.136:3116 cached
OK 177ms 47.130.167.253:35921 cached
OK 159ms 144.31.1.201:8090 cached
OK 227ms 45.77.241.190:8441 cached
OK 227ms 91.192.81.214:443 cached
OK 107ms 52.199.9.165:15147 cached
OK 95ms 132.243.235.53:2096 cached
OK 68ms 151.243.93.179:2083 cached
OK 162ms 151.244.237.100:2053 cached
