OK 170ms glowing-deer.rooster465.autos:443 cached
OK 76ms 137.184.218.169:36925 cached
OK 188ms 45.196.201.36:443 cached
OK 145ms 51.158.206.103:23576 cached
OK 188ms 45.196.201.106:443 cached
OK 145ms 51.158.206.19:23576 cached
OK 102ms 23.26.37.119:8443 cached
OK 188ms 45.196.201.230:443 cached
OK 153ms 51.158.206.34:23576 cached
OK 162ms 81.90.17.164:443 cached
OK 187ms 45.196.201.58:443 cached
OK 143ms 130.49.161.70:443 cached
OK 185ms 45.196.201.81:443 cached
OK 152ms 138.124.126.158:443 cached
OK 147ms 31.76.252.48:443 cached
OK 152ms 152.53.236.182:443 cached
OK 213ms 213.142.150.73:443 cached
OK 199ms de.vrsvpn.com:443 cached
OK 183ms 45.196.201.151:443 cached
OK 153ms 159.195.22.155:443 cached
OK 148ms 45.12.62.80:443 cached
OK 187ms 45.196.201.42:443 cached
OK 26ms 64.74.163.118:58536 cached
OK 184ms 45.196.201.54:443 cached
OK 100ms 93.152.223.98:443 cached
OK 243ms 149.33.0.214:14302 cached
OK 227ms 43.159.51.6:443 cached
OK 190ms 45.196.201.51:443 cached
OK 193ms 45.196.201.15:443 cached
OK 187ms 45.196.201.115:443 cached
OK 128ms 45.155.124.152:17031 cached
OK 158ms 2.27.14.29:443 cached
OK 183ms 45.196.201.87:443 cached
OK 183ms 45.196.201.70:443 cached
OK 185ms 45.196.201.83:443 cached
OK 187ms 45.196.201.49:443 cached
OK 192ms 151.245.106.49:2053 cached
OK 152ms 50.7.177.179:443 cached
OK 146ms select-marmoset.rooster465.autos:443 cached
OK 135ms 45.146.131.100:8443 cached
OK 178ms 144.31.27.179:443 cached
OK 182ms 93.114.194.116:448 cached
OK 44ms 163.245.196.68:49361 cached
OK 66ms 144.225.187.179:51015 cached
OK 154ms 62.60.247.40:8443 cached
OK 158ms 5.35.34.181:443 cached
OK 183ms 45.196.201.119:443 cached
OK 128ms 45.196.201.150:443 cached
OK 151ms 185.191.118.67:443 cached
OK 109ms 141.133.172.222:20342 cached
OK 168ms 2.26.100.228:443 cached
OK 185ms 45.196.201.82:443 cached
OK 168ms 77.246.109.191:34045 cached
OK 183ms 45.196.201.10:443 cached
OK 145ms 51.158.206.25:23576 cached
OK 188ms 45.196.201.47:443 cached
OK 6ms 198.202.211.1:443 cached
OK 184ms 45.196.201.12:443 cached
OK 175ms 107.181.151.39:443 cached
OK 159ms 150.241.90.13:443 cached
OK 90ms 147.45.145.127:443 cached
OK 50ms 154.193.55.183:443 cached
OK 119ms 194.135.33.137:443
OK 187ms 45.196.201.94:443 cached
OK 184ms 45.196.201.4:443 cached
OK 187ms 45.196.201.199:443 cached
OK 385ms node.restlyconnect.mooo.com:1443 cached
OK 188ms 45.196.201.250:443 cached
OK 184ms 45.196.201.48:443 cached
OK 155ms 89.23.108.92:2443 cached
OK 149ms 147.45.136.218:443 cached
OK 161ms 152.42.217.27:4321 cached
OK 190ms 45.196.201.25:443 cached
OK 35ms 64.94.95.118:57142 cached
OK 184ms 45.196.201.1:443 cached
OK 90ms 51.15.18.50:2053 cached
OK 116ms 144.124.249.252:443 cached
OK 77ms 147.182.212.232:56565 cached
OK 106ms 31.77.131.16:2443 cached
OK 184ms 45.196.201.210:443 cached
OK 108ms 193.111.117.8:1443 cached
OK 192ms 45.196.201.29:443 cached
OK 185ms 45.196.201.45:443 cached
OK 439ms www.creationlong.org:443 cached
OK 98ms 138.2.31.37:443 cached
OK 150ms 205.237.109.210:448 cached
OK 157ms 5.175.178.104:443 cached
OK 5ms 45.131.208.61:443 cached
OK 146ms 62.210.24.143:32202 cached
OK 184ms 45.196.201.130:443 cached
OK 187ms 45.196.201.14:443 cached
OK 163ms 91.224.75.127:2053 cached
